City,Zone
andorra,Europe/Andorra
dubai,Asia/Dubai
kabul,Asia/Kabul
antigua,America/Antigua
anguilla,America/Anguilla
tirane,Europe/Tirane
yerevan,Asia/Yerevan
luanda,Africa/Luanda
mcmurdo,Antarctica/McMurdo
casey,Antarctica/Casey
davis,Antarctica/Davis
mawson,Antarctica/Mawson
palmer,Antarctica/Palmer
rothera,Antarctica/Rothera
syowa,Antarctica/Syowa
troll,Antarctica/Troll
vostok,Antarctica/Vostok
buenos_aires,America/Argentina/Buenos_Aires
cordoba,America/Argentina/Cordoba
salta,America/Argentina/Salta
jujuy,America/Argentina/Jujuy
tucuman,America/Argentina/Tucuman
catamarca,America/Argentina/Catamarca
la_rioja,America/Argentina/La_Rioja
san_juan,America/Argentina/San_Juan
mendoza,America/Argentina/Mendoza
san_luis,America/Argentina/San_Luis
rio_gallegos,America/Argentina/Rio_Gallegos
ushuaia,America/Argentina/Ushuaia
pago_pago,Pacific/Pago_Pago
vienna,Europe/Vienna
lord_howe,Australia/Lord_Howe
macquarie,Antarctica/Macquarie
hobart,Australia/Hobart
currie,Australia/Currie
melbourne,Australia/Melbourne
sydney,Australia/Sydney
broken_hill,Australia/Broken_Hill
brisbane,Australia/Brisbane
lindeman,Australia/Lindeman
adelaide,Australia/Adelaide
darwin,Australia/Darwin
perth,Australia/Perth
eucla,Australia/Eucla
aruba,America/Aruba
mariehamn,Europe/Mariehamn
baku,Asia/Baku
sarajevo,Europe/Sarajevo
barbados,America/Barbados
dhaka,Asia/Dhaka
brussels,Europe/Brussels
ouagadougou,Africa/Ouagadougou
sofia,Europe/Sofia
bahrain,Asia/Bahrain
bujumbura,Africa/Bujumbura
porta_novo,Africa/Porto-Novo
st_barthelemy,America/St_Barthelemy
bermuda,Atlantic/Bermuda
brunei,Asia/Brunei
la_paz,America/La_Paz
kralendijk,America/Kralendijk
noronha,America/Noronha
belem,America/Belem
fortaleza,America/Fortaleza
recife,America/Recife
araguaina,America/Araguaina
maceio,America/Maceio
bahia,America/Bahia
sao_paulo,America/Sao_Paulo
campo_grande,America/Campo_Grande
cuiaba,America/Cuiaba
santarem,America/Santarem
porto_velho,America/Porto_Velho
boa_vista,America/Boa_Vista
manaus,America/Manaus
eirunepe,America/Eirunepe
rio_branco,America/Rio_Branco
nassau,America/Nassau
thimphu,Asia/Thimphu
gaborone,Africa/Gaborone
minsk,Europe/Minsk
belize,America/Belize
st_johns,America/St_Johns
halifax,America/Halifax
glace_bay,America/Glace_Bay
moncton,America/Moncton
goose_bay,America/Goose_Bay
blanc_sablon,America/Blanc-Sablon
toronto,America/Toronto
nipigon,America/Nipigon
thunder_bay,America/Thunder_Bay
iqaluit,America/Iqaluit
pangnirtung,America/Pangnirtung
atikokan,America/Atikokan
winnipeg,America/Winnipeg
rainy_river,America/Rainy_River
resolute,America/Resolute
rankin_inlet,America/Rankin_Inlet
regina,America/Regina
swift_current,America/Swift_Current
edmonton,America/Edmonton
cambridge_bay,America/Cambridge_Bay
yellowknife,America/Yellowknife
inuvik,America/Inuvik
creston,America/Creston
dawson_creek,America/Dawson_Creek
fort_nelson,America/Fort_Nelson
vancouver,America/Vancouver
